Serotonin	-	-	B-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
receptor	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
2A	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
HTR2A	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
gene	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
polymorphism	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
predicts	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
treatment	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
response	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
to	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
venlafaxine	-	-	B-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
XR	-	-	I-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
Generalized	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
anxiety	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
disorder	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
GAD	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
is	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
a	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
chronic	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
psychiatric	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
disorder	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
with	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
significant	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
morbidity	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
and	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
mortality	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
Antidepressant	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
drugs	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
are	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
preferred	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
choice	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
for	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
treatment	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
however	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
treatment	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
response	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
is	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
often	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
variable	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
Several	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
studies	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
in	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
major	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
depression	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
have	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
implicated	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
a	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
role	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
of	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
serotonin	-	-	B-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
Generalized	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
anxiety	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
disorder	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
GAD	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
is	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
a	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
chronic	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
psychiatric	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
disorder	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
with	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
significant	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
morbidity	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
and	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
mortality	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
Antidepressant	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
drugs	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
are	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
preferred	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
choice	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
for	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
treatment	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
however	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
treatment	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
response	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
is	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
often	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
variable	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
Several	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
studies	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
in	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
major	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
depression	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
have	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
implicated	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
a	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
role	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
of	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
serotonin	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
receptor	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
gene	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
HTR2A	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
in	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
treatment	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
response	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
to	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
antidepressants	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
We	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
tested	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothesis	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
that	-	-	O-TRIVIAL	-	-	-	-	-	-	-	-	-	-	-	-	-
