Effects	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
of	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
docosahexaenoic	-	-	B-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
acid	-	-	I-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
and	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
methylmercury	-	-	B-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
Fish	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
contains	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
both	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
beneficial	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
substances	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
e	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
g	-	-	O-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
docosahexaenoic	-	-	B-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
acids	-	-	I-FAMILY	-	-	-	-	-	-	-	-	-	-	-	-	-
Fish	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
contains	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
both	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
beneficial	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
substances	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
e	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
g	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
docosahexaenoic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
acids	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
but	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
also	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
harmful	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
compounds	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
e	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
g	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
methylmercury	-	-	B-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
Garlic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
phytochemicals	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
and	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
garlic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
supplements	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
influence	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
pharmacokinetic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
and	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
pharmacodynamic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
behavior	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
of	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
concomitantly	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
ingested	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
drugs	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
In	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
this	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
paper	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
we	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
have	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
summarized	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
mechanisms	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
responsible	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
for	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
first	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
pass	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
intestinal	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
pharmacokinetic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
interactions	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
by	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
investigating	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
the	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
intestinal	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
permeability	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
of	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
some	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
cardiovascular	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
antiviral	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
drugs	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
their	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
transport	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
with	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
hepatic	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
transporters	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
and	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
CYP3A4	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
metabolism	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
Transporter	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
enzyme	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
interplay	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
was	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
studied	-	-	O-SYSTEMATIC	-	-	-	-	-	-	-	-	-	-	-	-	-
